,room_capacity,layout,property_type,location,city,price,area_in_sqft,status,deposit,no_bathrooms,facing
1032,1,BHK,Apartment,Kondapur,Hyderabad,"14,502",680,Unfurnished,No,1,South
1033,2,BHK,Apartment,Kondapur,Hyderabad,"38,000",1251,Semi-Furnished,No,1,South
1034,2,BHK,Apartment,Kondapur,Hyderabad,"38,003",1252,Semi-Furnished,No,1,South
1035,2,BHK,Apartment,Kondapur,Hyderabad,"38,002",1250,Semi-Furnished,No,1,South
1036,1,BHK,Apartment,Kondapur,Hyderabad,"12,998",680,Unfurnished,No,1,South
1037,1,BHK,Apartment,Kondapur,Hyderabad,"13,002",680,Unfurnished,No,1,South
1038,2,BHK,Apartment,Nanakramguda,Hyderabad,"42,000",1398,Semi-Furnished,No,2,
1039,2,BHK,Apartment,Madhapur,Hyderabad,"29,000",1330,Semi-Furnished,No,2,
1040,1,BHK,Apartment,Kondapur,Hyderabad,"20,000",650,Furnished,No,1,
1041,2,BHK,Apartment,Kondapur,Hyderabad,"20,000",950,Unfurnished,No,1,
1042,2,BHK,Apartment,Kondapur,Hyderabad,"30,000",1250,Semi-Furnished,No,2,North
1043,2,BHK,Apartment,Erragadda,Hyderabad,"22,000",1054,Furnished,No,2,North
1044,2,BHK,Apartment,Balakampet,Hyderabad,"15,000",1154,Semi-Furnished,No,2,East
1045,1,BHK,Apartment,Sanjeeva Reddy Nagar,Hyderabad,"11,000",641,Semi-Furnished,No,1,East
1046,1,BHK,Apartment,Ameerpet,Hyderabad,"10,500",645,Unfurnished,No,1,
1047,2,BHK,Apartment,Sanjeeva Reddy Nagar,Hyderabad,"19,000",1220,Semi-Furnished,No,2,North
1048,1,BHK,Apartment,Sanath Nagar,Hyderabad,"11,000",575,Unfurnished,No,1,East
1049,2,BHK,Apartment,Yousufguda,Hyderabad,"16,000",645,Unfurnished,No,1,
1050,1,BHK,Apartment,Yousufguda,Hyderabad,"11,000",645,Unfurnished,No,1,
1051,2,BHK,Apartment,Ameerpet,Hyderabad,"22,000",1150,Semi-Furnished,No,2,East
1052,1,BHK,Apartment,Sanjeeva Reddy Nagar,Hyderabad,"10,500",590,Unfurnished,No,1,East
